1000 1 200
109.375 25 3.125 6.25
175 87.5 3.125 6.25
93.75 184.375 6.25 3.125
18.75 118.75 6.25 3.125
162.5 18.75 3.125 6.25
109.375 93.75 3.125 6.25
6.25 18.75 6.25 3.125
168.75 12.5 3.125 6.25
18.75 175 6.25 3.125
143.75 187.5 6.25 3.125
178.125 131.25 3.125 6.25
31.25 21.875 6.25 3.125
118.75 106.25 6.25 3.125
190.625 18.75 3.125 6.25
6.25 175 6.25 3.125
81.25 153.125 6.25 3.125
84.375 68.75 3.125 6.25
131.25 43.75 6.25 6.25
118.75 156.25 6.25 6.25
31.25 31.25 6.25 3.125
68.75 165.625 6.25 3.125
168.75 81.25 6.25 6.25
68.75 171.875 6.25 3.125
18.75 59.375 6.25 3.125
6.25 121.875 6.25 3.125
131.25 109.375 6.25 3.125
6.25 62.5 6.25 6.25
106.25 134.375 6.25 3.125
143.75 121.875 6.25 3.125
106.25 125 6.25 3.125
181.25 190.625 6.25 3.125
68.75 87.5 6.25 6.25
68.75 93.75 6.25 6.25
6.25 109.375 6.25 3.125
43.75 68.75 6.25 6.25
168.75 112.5 6.25 3.125
125 112.5 6.25 3.125
100 128.125 6.25 3.125
193.75 196.875 6.25 3.125
6.25 106.25 6.25 3.125
81.25 6.25 6.25 3.125
184.375 143.75 3.125 6.25
193.75 118.75 6.25 3.125
196.875 143.75 3.125 6.25
156.25 156.25 6.25 3.125
43.75 134.375 6.25 3.125
18.75 93.75 6.25 3.125
156.25 159.375 6.25 3.125
18.75 125 6.25 3.125
6.25 178.125 6.25 3.125
56.25 115.625 6.25 3.125
143.75 134.375 6.25 3.125
18.75 56.25 6.25 3.125
193.75 134.375 6.25 3.125
131.25 196.875 6.25 3.125
93.75 193.75 6.25 3.125
56.25 184.375 6.25 3.125
193.75 31.25 6.25 6.25
50 68.75 3.125 6.25
56.25 9.375 6.25 3.125
178.125 93.75 3.125 6.25
81.25 150 6.25 3.125
43.75 112.5 6.25 3.125
131.25 153.125 6.25 3.125
93.75 9.375 6.25 3.125
140.625 81.25 3.125 6.25
68.75 156.25 6.25 6.25
93.75 3.125 6.25 3.125
106.25 128.125 6.25 3.125
178.125 68.75 3.125 6.25
93.75 168.75 6.25 3.125
187.5 121.875 6.25 3.125
131.25 168.75 6.25 3.125
181.25 62.5 3.125 6.25
131.25 165.625 6.25 3.125
0 28.125 6.25 3.125
6.25 31.25 6.25 3.125
175 190.625 6.25 3.125
68.75 68.75 3.125 6.25
59.375 62.5 3.125 6.25
21.875 43.75 3.125 6.25
84.375 56.25 3.125 6.25
75 93.75 6.25 6.25
184.375 162.5 3.125 6.25
168.75 106.25 6.25 3.125
196.875 68.75 3.125 6.25
100 118.75 6.25 3.125
181.25 162.5 3.125 6.25
62.5 178.125 6.25 3.125
12.5 140.625 6.25 3.125
12.5 71.875 6.25 3.125
131.25 37.5 6.25 6.25
112.5 43.75 6.25 3.125
0 190.625 6.25 3.125
37.5 175 6.25 3.125
62.5 62.5 6.25 6.25
21.875 37.5 3.125 6.25
31.25 15.625 6.25 3.125
184.375 25 3.125 6.25
112.5 128.125 6.25 3.125
125 196.875 6.25 3.125
37.5 87.5 6.25 6.25
12.5 146.875 6.25 3.125
